service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
17-18-19-24-25-26-31-32-33-38-39-40-45-46-47,20200117,20200216,0,0,0,0,1,1,1
17-24-31-38-45-48,20200117,20200217,0,0,0,0,1,0,0
25-32-39-46,20200125,20200215,0,0,0,0,0,1,0
18-25-32-39-46-48,20200118,20200217,0,0,0,0,0,1,0
18-20-21-22-23-25-27-28-29-30-32-34-35-36-37-39-41-42-43-44-46-48,20200118,20200217,1,1,1,1,0,1,0
17-20-21-22-23-24-27-28-29-30-31-34-35-36-37-38-41-42-43-44-45-48,20200117,20200217,1,1,1,1,1,0,0
27-28-29-30-31-34-35-36-37-38-41-42-43-44-45-48,20200127,20200217,1,1,1,1,1,0,0
20-21-22-23-24-26-27-28-29-30-31-33-34-35-36-37-38-40-41-42-43-44-45-47-48,20200120,20200217,1,1,1,1,1,0,1
20-21-22-23-27-28-29-30-34-35-36-37-41-42-43-44,20200120,20200213,1,1,1,1,0,0,0
17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-47-48,20200117,20200217,1,1,1,1,1,1,1
26-33-40-47,20200126,20200216,0,0,0,0,0,0,1
25-26-32-33-39-40-46-47,20200125,20200216,0,0,0,0,0,1,1
17-18-24-25-31-32-38-39-45-46,20200117,20200215,0,0,0,0,1,1,0
17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-44-45-46,20200117,20200215,1,1,1,1,1,1,0
24-31-38-45,20200124,20200214,0,0,0,0,1,0,0
17-24-31-38-45,20200117,20200214,0,0,0,0,1,0,0
17-19-20-21-22-23-24-26-27-28-29-30-31-33-34-35-36-37-38-40-41-42-43-44-45-47,20200117,20200216,1,1,1,1,1,0,1
19-20-21-22-23-26-27-28-29-30-33-34-35-36-37-40-41-42-43-44-47,20200119,20200216,1,1,1,1,0,0,1
18-19-25-26-32-33-39-40-46-47,20200118,20200216,0,0,0,0,0,1,1
18-19-25-26-32-33-39-40-46-47-48,20200118,20200217,0,0,0,0,0,1,1
18-25-32-39-46,20200118,20200215,0,0,0,0,0,1,0
20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48,20200120,20200217,1,1,1,1,1,1,1
17-20-21-22-23-24-27-28-29-30-31-34-35-36-37-38-41-42-43-44-45,20200117,20200214,1,1,1,1,1,0,0
17-19-20-21-22-23-24-26-27-28-29-30-31-33-34-35-36-37-38-40-41-42-43-44-45-47-48,20200117,20200217,1,1,1,1,1,0,1
20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-44-45-46-48,20200120,20200217,1,1,1,1,1,1,0
18-19-20-21-22-23-25-26-27-28-29-30-32-33-34-35-36-37-39-40-41-42-43-44-46-47-48,20200118,20200217,1,1,1,1,0,1,1
17-22-24-29-31-36-38-43-45,20200117,20200214,0,0,1,0,1,0,0
17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-47-48,20200117,20200217,1,1,1,1,1,1,1
18-20-21-22-23-25-27-28-29-30-32-34-35-36-37-39-41-42-43-44-46,20200118,20200215,1,1,1,1,0,1,0
20-21-22-23-24-27-28-29-30-31-34-35-36-37-38-41-42-43-44-45-48,20200120,20200217,1,1,1,1,1,0,0
17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-44-45-46-48,20200117,20200217,1,1,1,1,1,1,0
19-26-33-40-47,20200119,20200216,0,0,0,0,0,0,1
17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-48,20200117,20200217,1,1,1,1,1,1,0
17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47,20200117,20200216,1,1,1,1,1,1,1
20-21-23-27-28-30-34-35-37-41-42-44-48,20200120,20200217,1,1,0,1,0,0,0
19-20-21-22-23-26-27-28-29-30-33-34-35-36-37-40-41-42-43-44-47-48,20200119,20200217,1,1,1,1,0,0,1
20-21-22-23-27-28-29-30-34-35-36-37-41-42-43-44-48,20200120,20200217,1,1,1,1,0,0,0
17-18-22-24-25-29-31-32-36-38-39-43-45-46,20200117,20200215,0,0,1,0,1,1,0
17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48,20200117,20200217,1,1,1,1,1,1,1
