service_id,date,exception_type
17-24-31-38-45-48,20200217,1
17-18,20200117,1
17-18,20200118,1
18-25-32-39-46-48,20200217,1
17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-47-48,20200215,2
25,20200125,1
48,20200217,1
46,20200215,1
18-19-25-26-32-33-39-40-46-47-48,20200217,1
17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-47-48,20200215,2
17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-47-48,20200214,2
17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-47-48,20200213,2
26,20200126,1
17-20-21-22-23-24,20200122,1
17-20-21-22-23-24,20200123,1
17-20-21-22-23-24,20200117,1
17-20-21-22-23-24,20200121,1
17-20-21-22-23-24,20200120,1
17-20-21-22-23-24,20200124,1
17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-48,20200215,2
17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-48,20200214,2
17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-48,20200213,2
18-19,20200118,1
18-19,20200119,1
17,20200117,1
19,20200119,1
18,20200118,1
17-19,20200117,1
17-19,20200119,1
44-45-46,20200215,1
44-45-46,20200214,1
44-45-46,20200213,1
17-18-19,20200117,1
17-18-19,20200118,1
17-18-19,20200119,1
