route_id,trip_id,service_id,trip_headsign
5,282420,19-26-33-40-47,Heidelberg-Mannheim
1,64610,17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-44-45-46-48,Krappmühlstraße
1,64357,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48,Schönau
7,101767,17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-44-45-46-48,Vogelstang
7,101766,17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-44-45-46-48,Paradeplatz
7,101760,17-20-21-22-23-24-27-28-29-30-31-34-35-36-37-38-41-42-43-44-45-48,Paradeplatz
34,386309,17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-44-45-46-48,Heidebuckelweg
7,101769,17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-44-45-46-48,Vogelstang
7,101768,17-18-20-21-22-23-24-25-27-28-29-30-31-32-34-35-36-37-38-39-41-42-43-44-45-46-48,Paradeplatz
37,355455,17-20-21-22-23-24-27-28-29-30-31-34-35-36-37-38-41-42-43-44-45-48,Sportzentrum Nord
95,260520,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48,Maudach
74,260523,17-20-21-22-23-24-27-28-29-30-31-34-35-36-37-38-41-42-43-44-45-48,LU Rathaus
70,260525,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48,LU Hauptbahnhof
70,260524,17-20-21-22-23-24-27-28-29-30-31-34-35-36-37-38-41-42-43-44-45-48,Adolf-Kolping-Straße
75,260527,17-20-21-22-23-24-27-28-29-30-31-34-35-36-37-38-41-42-43-44-45-48,Rheingönheim
74,260526,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48,Berliner Platz
76,260529,17-20-21-22-23-24-27-28-29-30-31-34-35-36-37-38-41-42-43-44-45-48,Maudach
